,Date,AAPL,GOOG,TSLA
157,2020-11-10,115.550003,1731.089966,420.089996
158,2020-11-11,117.190002,1750.0,416.450012
159,2020-11-12,119.620003,1747.630005,415.049988
160,2020-11-13,119.440002,1757.630005,410.850006
161,2020-11-16,118.919998,1771.699951,408.929993
162,2020-11-17,119.550003,1776.939941,460.170013
163,2020-11-18,118.610001,1765.22998,448.350006
164,2020-11-19,117.589996,1738.380005,492.0
165,2020-11-20,118.639999,1765.209961,497.98999
166,2020-11-23,117.18,1749.5999760000002,503.5
167,2020-11-24,113.910004,1730.5,540.400024
168,2020-11-25,115.550003,1772.890015,550.0599980000002
169,2020-11-27,116.57,1773.089966,581.159973
170,2020-11-30,116.970001,1781.18396,602.210022
171,2020-12-01,121.010002,1774.369995,597.590027
172,2020-12-02,122.019997,1798.0999760000002,556.4400019999998
173,2020-12-03,123.519997,1824.01001,590.02002
174,2020-12-04,122.599998,1824.52002,591.01001
175,2020-12-07,122.309998,1819.0,604.919983
176,2020-12-08,124.370003,1810.099976,625.51001
177,2020-12-09,124.529999,1812.01001,653.6900019999998
178,2020-12-10,120.5,1769.800049,574.369995
179,2020-12-11,122.43,1763.060059,615.01001
180,2020-12-14,122.599998,1775.0,619.0
181,2020-12-15,124.339996,1764.4200440000004,643.280029
182,2020-12-16,127.410004,1772.880005,628.22998
183,2020-12-17,128.899994,1768.5100100000002,628.1900019999998
184,2020-12-18,128.96000700000002,1754.180054,668.900024
185,2020-12-21,125.019997,1713.5100100000002,666.23999
186,2020-12-22,131.610001,1734.430054,648.0
187,2020-12-23,132.160004,1728.109985,632.200012
188,2020-12-24,131.320007,1735.0,642.98999
189,2020-12-28,133.990005,1751.6350100000002,674.51001
190,2020-12-29,138.050003,1787.790039,661.0
191,2020-12-30,135.580002,1762.0100100000002,672.0
192,2020-12-31,134.080002,1735.4200440000004,699.98999
193,2021-01-04,133.520004,1757.540039,719.460022
194,2021-01-05,128.889999,1725.0,723.659973
195,2021-01-06,127.720001,1702.630005,758.48999
196,2021-01-07,128.360001,1740.060059,777.630005
197,2021-01-08,132.429993,1787.97998,856.0
198,2021-01-11,129.190002,1786.069946,849.400024
199,2021-01-12,128.5,1753.9200440000004,831.0
200,2021-01-13,128.759995,1738.5799559999996,852.76001
201,2021-01-14,130.800003,1753.619995,843.3900150000002
202,2021-01-15,128.779999,1738.189941,852.0
203,2021-01-19,127.779999,1752.25,837.799988
204,2021-01-20,128.660004,1831.459961,858.73999
205,2021-01-21,133.800003,1898.0,855.0
206,2021-01-22,136.279999,1895.680054,834.3099980000002
207,2021-01-25,143.070007,1920.670044,855.0
208,2021-01-26,143.600006,1888.839966,891.3800050000001
209,2021-01-27,143.429993,1882.530029,870.349976
210,2021-01-28,139.520004,1843.939941,820.0
211,2021-01-29,135.830002,1846.170044,830.0
212,2021-02-01,133.75,1853.569946,814.289978
213,2021-02-02,135.729996,1922.560059,844.679993
214,2021-02-03,135.759995,2073.0,877.0200199999998
215,2021-02-04,136.300003,2068.889893,855.0
216,2021-02-05,137.350006,2070.0,845.0
217,2021-02-08,136.029999,2105.909912,869.669983
218,2021-02-09,136.619995,2078.540039,855.1199949999999
219,2021-02-10,136.479996,2094.209961,843.6400150000002
220,2021-02-11,135.899994,2099.51001,812.4400019999998
221,2021-02-12,134.350006,2090.25,801.26001
222,2021-02-16,135.490005,2104.360107,818.0
223,2021-02-17,131.25,2100.0,779.090027
224,2021-02-18,129.199997,2110.389893,780.900024
225,2021-02-19,130.240005,2119.27002,795.0
226,2021-02-22,128.009995,2067.0,762.6400150000002
227,2021-02-23,123.760002,2025.01001,662.130005
228,2021-02-24,124.940002,2041.829956,711.849976
229,2021-02-25,124.68,2067.449951,726.150024
230,2021-02-26,122.589996,2050.52002,700.0
231,2021-03-01,123.75,2056.52002,690.1099849999998
232,2021-03-02,128.410004,2076.189941,718.280029
233,2021-03-03,124.809998,2067.209961,687.98999
234,2021-03-04,121.75,2023.369995,655.799988
235,2021-03-05,120.980003,2073.1201170000004,626.0599980000002
236,2021-03-08,120.93,2101.129883,600.549988
237,2021-03-09,119.029999,2070.0,608.179993
238,2021-03-10,121.690002,2071.76001,700.299988
239,2021-03-11,122.540001,2074.060059,699.400024
240,2021-03-12,120.400002,2085.0,670.0
241,2021-03-15,121.410004,2062.300049,694.090027
242,2021-03-16,125.699997,2078.98999,703.349976
243,2021-03-17,124.050003,2076.030029,656.869995
244,2021-03-18,122.879997,2061.0,684.289978
245,2021-03-19,119.900002,2042.050049,646.599976
246,2021-03-22,120.330002,2041.839966,684.590027
247,2021-03-23,123.330002,2051.699951,675.77002
248,2021-03-24,122.82,2065.3701170000004,667.909973
249,2021-03-25,119.540001,2044.810059,613.0
250,2021-03-26,120.349998,2038.859985,641.869995
